RegionCode,RegionName,MethodCode,TravelMethod,Observation
E12000001,North East,1,Work mainly at or from home,282172
E12000001,North East,2,"Underground, metro, light rail, tram",10649
E12000001,North East,3,Train,6531
E12000001,North East,4,"Bus, minibus or coach",54868
E12000001,North East,5,Taxi,11873
E12000001,North East,6,"Motorcycle, scooter or moped",2762
E12000001,North East,7,Driving a car or van,592874
E12000001,North East,8,Passenger in a car or van,57668
E12000001,North East,9,Bicycle,16089
E12000001,North East,10,On foot,88091
E12000001,North East,11,Other method of travel to work,14476
E12000001,North East,12,Not in employment or aged 15 years and under,1508957
E12000002,North West,1,Work mainly at or from home,913829
E12000002,North West,2,"Underground, metro, light rail, tram",19803
E12000002,North West,3,Train,37881
E12000002,North West,4,"Bus, minibus or coach",144376
E12000002,North West,5,Taxi,38856
E12000002,North West,6,"Motorcycle, scooter or moped",11186
E12000002,North West,7,Driving a car or van,1661538
E12000002,North West,8,Passenger in a car or van,154251
E12000002,North West,9,Bicycle,57624
E12000002,North West,10,On foot,267791
E12000002,North West,11,Other method of travel to work,34608
E12000002,North West,12,Not in employment or aged 15 years and under,4075652
E12000003,Yorkshire and The Humber,1,Work mainly at or from home,637370
E12000003,Yorkshire and The Humber,2,"Underground, metro, light rail, tram",3900
E12000003,Yorkshire and The Humber,3,Train,21030
E12000003,Yorkshire and The Humber,4,"Bus, minibus or coach",109745
E12000003,Yorkshire and The Humber,5,Taxi,28026
E12000003,Yorkshire and The Humber,6,"Motorcycle, scooter or moped",8778
E12000003,Yorkshire and The Humber,7,Driving a car or van,1253536
E12000003,Yorkshire and The Humber,8,Passenger in a car or van,121906
E12000003,Yorkshire and The Humber,9,Bicycle,47760
E12000003,Yorkshire and The Humber,10,On foot,204643
E12000003,Yorkshire and The Humber,11,Other method of travel to work,24676
E12000003,Yorkshire and The Humber,12,Not in employment or aged 15 years and under,3019405
E12000004,East Midlands,1,Work mainly at or from home,586025
E12000004,East Midlands,2,"Underground, metro, light rail, tram",5417
E12000004,East Midlands,3,Train,10629
